"hotel";"is_canceled";"lead_time";"arrival_date_year";"arrival_date_month";"arrival_date_day_of_month";"stays_in_weekend_nights";"stays_in_week_nights";"adults";"children";"babies";"meal";"country";"market_segment";"distribution_channel";"is_repeated_guest";"previous_cancellations";"previous_bookings_not_canceled";"reserved_room_type";"assigned_room_type";"booking_changes";"deposit_type";"agent";"company";"days_in_waiting_list";"customer_type";"adr";"required_car_parking_spaces";"total_of_special_requests";"reservation_status";"reservation_status_date"
"Resort Hotel";0;0;2015;"August";1;0;1;2;0;0;"BB";"";"Direct";"Direct";0;0;1;"G";"G";0;"No Deposit";"";"";0;"Transient";200;1;1;"Check-Out";"2015-08-02"
"Resort Hotel";0;0;2015;"August";1;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"241";"";0;"Transient";132;1;1;"Check-Out";"2015-08-02"
"Resort Hotel";0;0;2015;"August";1;2;5;2;1;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"D";1;"No Deposit";"240";"";0;"Transient";121;1;3;"Check-Out";"2015-08-08"
"Resort Hotel";0;0;2015;"August";2;2;0;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"D";"D";0;"No Deposit";"240";"";0;"Transient";192;0;0;"Check-Out";"2015-08-04"
"Resort Hotel";0;0;2015;"August";3;1;0;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"C";0;"No Deposit";"241";"";0;"Transient";132;0;0;"Check-Out";"2015-08-04"
"Resort Hotel";0;0;2015;"August";3;1;0;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"C";"C";0;"No Deposit";"241";"";0;"Transient";145;0;0;"Check-Out";"2015-08-04"
"Resort Hotel";0;0;2015;"August";3;1;1;2;0;0;"HB";"PRT";"Online TA";"TA/TO";0;0;0;"D";"D";1;"No Deposit";"240";"";0;"Transient";241;0;0;"Check-Out";"2015-08-05"
"Resort Hotel";0;0;2015;"August";4;0;1;1;0;0;"BB";"GBR";"Direct";"Direct";0;0;0;"F";"F";0;"No Deposit";"";"";0;"Transient";179;0;0;"Check-Out";"2015-08-05"
"Resort Hotel";0;0;2015;"August";4;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"C";0;"No Deposit";"250";"";0;"Transient";172;0;0;"Check-Out";"2015-08-05"
"Resort Hotel";0;0;2015;"August";4;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"L";"B";0;"No Deposit";"";"";0;"Transient";172;0;0;"Check-Out";"2015-08-05"
"Resort Hotel";0;0;2015;"August";4;0;3;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"C";"C";0;"No Deposit";"";"";0;"Transient";217;0;0;"Check-Out";"2015-08-07"
"Resort Hotel";0;0;2015;"August";5;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"L";"F";0;"No Deposit";"";"";0;"Transient";200;0;0;"Check-Out";"2015-08-06"
"Resort Hotel";0;0;2015;"August";5;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"D";"D";0;"No Deposit";"240";"";0;"Transient";172;0;0;"Check-Out";"2015-08-06"
"Resort Hotel";0;0;2015;"August";6;0;1;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";0;"No Deposit";"";"";0;"Transient";191;0;0;"Check-Out";"2015-08-07"
"Resort Hotel";0;0;2015;"August";7;0;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"D";"F";0;"No Deposit";"240";"";0;"Transient";153;0;2;"Check-Out";"2015-08-08"
"Resort Hotel";0;0;2015;"August";8;0;1;2;0;0;"BB";"CHN";"Online TA";"TA/TO";0;0;0;"A";"A";0;"No Deposit";"240";"";0;"Transient";172;1;0;"Check-Out";"2015-08-09"
"Resort Hotel";0;0;2015;"August";8;0;1;2;0;0;"BB";"ESP";"Direct";"Direct";0;0;0;"F";"F";0;"No Deposit";"";"";0;"Transient";190;0;0;"Check-Out";"2015-08-09"
"Resort Hotel";0;0;2015;"August";9;1;0;2;0;0;"BB";"ESP";"Direct";"Direct";0;0;0;"F";"F";0;"No Deposit";"";"";0;"Transient";126;0;0;"Check-Out";"2015-08-10"
"Resort Hotel";0;0;2015;"August";9;1;0;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"G";"G";0;"No Deposit";"";"";0;"Transient";195;0;0;"Check-Out";"2015-08-10"
"Resort Hotel";0;0;2015;"August";9;2;4;2;0;0;"BB";"PRT";"Direct";"Direct";0;0;0;"A";"A";2;"No Deposit";"";"";0;"Transient";129;0;0;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";9;2;4;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"A";"C";0;"No Deposit";"240";"";0;"Transient";134;0;0;"Check-Out";"2015-08-15"
"Resort Hotel";0;0;2015;"August";10;1;0;2;0;0;"BB";"ROU";"Online TA";"TA/TO";0;0;0;"A";"C";0;"No Deposit";"240";"";0;"Transient";155;0;2;"Check-Out";"2015-08-11"
"Resort Hotel";0;0;2015;"August";10;1;1;2;0;0;"BB";"PRT";"Online TA";"TA/TO";0;0;0;"E";"F";0;"No Deposit";"240";"";0;"Transient";211;0;1;"Check-Out";"2015-08-12"
"Resort Hotel";0;0;2015;"August";10;1;2;2;0;0;"BB";"ESP";"Online TA";"TA/TO";1;0;1;"E";"E";0;"No Deposit";"";"";0;"Transient";0;0;0;"Check-Out";"2015-08-13"
"Resort Hotel";0;0;2015;"August";11;0;1;2;1;0;"BB";"PRT";"Direct";"Direct";0;0;0;"D";"D";0;"No Deposit";"";"";0;"Transient";211;0;0;"Check-Out";"2015-08-12"
"Resort Hotel";0;0;2015;"August";11;0;2;2;0;0;"BB";"ESP";"Online TA";"TA/TO";0;0;0;"A";"D";0;"No Deposit";"240";"";0;"Transient";191;0;1;"Check-Out";"2015-08-13"
